,1627000714.662946,,,,,,,,,,,,,,,,,,,,,,

,1627000714.663942,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,

,1627000714.664936,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,

,1627000714.665920,14.100000,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,21.971778,255.000000,

,1627000714.681947,,0.000000,0.000000,,,,,,,,,,,,,,,,,,,

,1627000714.688045,,,,,,,,,,,,,,,,,,,,,,

,1627000714.689055,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,

,1627000714.689898,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,

,1627000714.691021,14.100000,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,21.971778,255.000000,

,1627000714.701931,,0.000000,0.000000,,,,,,,,,,,,,,,,,,,

,1627000714.713046,,,,,,,,,,,,,,,,,,,,,,

,1627000714.713890,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,

,1627000714.715070,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,

,1627000714.716033,14.100000,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,23.004286,255.000000,

,1627000714.722049,,0.000000,0.000000,,,,,,,,,,,,,,,,,,,

,1627000714.737885,,,,,,,,,,,,,,,,,,,,,,

,1627000714.739024,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,

,1627000714.739960,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,

,1627000714.740887,14.100000,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,23.004286,255.000000,

,1627000714.741909,,0.000000,0.000000,,,,,,,,,,,,,,,,,,,

